['$91.34', '20 Sizes', 'https://ak1.ostkcdn.com/images/products/is/images/direct/d346339372658cb0ed35966f9a4460b06c81f000/Braided-1-8ct-TDW-Diamond-Ring-in-Sterling-Silver-by-Miadora.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$49.99', '5 Colors', 'https://ak1.ostkcdn.com/images/products/is/images/direct/3cfb32399a72d86c1ef9dec3f693c0a5679d74f3/iTouch-Air-4-Men%27s-Smartwatch---Fitness-Tracker%2C-Heart-Rate-Monitor%2C-Customizable-Watch-Face---100%2B-Sports-Modes---Bluetooth.jpg?imwidth=480&impolicy=medium', False, 'by iTouch']
['$139.04', '11 Sizes', 'https://ak1.ostkcdn.com/images/products/is/images/direct/e8f24c62387984eeb28dd01f90b3913c4d225359/Diamond-Wedding-Ring-Yellow-Gold-Stackable-Anniversary-Band.jpg?imwidth=480&impolicy=medium', True, 'by Overstock']
['$39.99', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/6be0be530b65d4a5d296e5aa69fd55958078f583/Juvell-18K-Plated-Cubic-Zirconia-Popcorn-Mesh-Cuff-Bracelet.jpg?imwidth=480&impolicy=medium', False, 'by Juvell']
['$2,425.99', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/151ee68e48ef3de1e7c0c0344692c818ea23a50b/Certified-6.00Ct-H-VS-Radiant-Cut-Diamond-Engagement-Ring-White-Gold-Lab-Grown.jpg?imwidth=480&impolicy=medium', False, 'by Overstock']
['$83.49', '5 Lengths', 'https://ak1.ostkcdn.com/images/products/3261756/L11367938.jpg?imwidth=480&impolicy=medium', True, 'by Fremada']
['$518.49', '5 Lengths', 'https://ak1.ostkcdn.com/images/products/is/images/direct/96d60c0c0ce2d0377fd9d38d39d8afa9a5b1a1a8/Solid-14k-Yellow-Gold-Filled-7-millimeter-Double-Curb-Link-Chain-Necklace-For-Men-and-Women.jpg?imwidth=480&impolicy=medium', False, 'by Fremada']
['$39.49', '6 Lengths', 'https://ak1.ostkcdn.com/images/products/is/images/direct/4ea71ddfa945befa1a852764df7675f0760f97b9/Solid-14k-Yellow-Gold-Filled-2-millimeter-Singapore-Chain-Pendant-Necklace-For-Women-%2816---30-inches%29.jpg?imwidth=480&impolicy=medium', False, 'by Fremada']
['$52.49', '5 Sizes', 'https://ak1.ostkcdn.com/images/products/12174889/L19025917.jpg?imwidth=480&impolicy=medium', True, 'by Fremada']
['$119.99', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/ab507e0205a7d5707c512109929a0660298024ef/14K-Yellow-Gold-Shiny-Diamond-Cut-Engraved-Hoop-Earrings-%2814mm%29.jpg?imwidth=480&impolicy=medium', False, 'by Marquee Jewels']
['$278.99', '11 Sizes / 3 Metal Colors', 'https://ak1.ostkcdn.com/images/products/is/images/direct/8faf62e6d0c8359a31187bf92489cc58c9e43629/Emerald-Diamond-Stackable-Wedding-Ring-Women%27s-Anniversary-Band-Gold.jpg?imwidth=480&impolicy=medium', False, 'by Overstock']
['$23.29', '5 Lengths', 'https://ak1.ostkcdn.com/images/products/is/images/direct/e35103cbde600ad58a3148a0dcb223ecb4a7b719/Sterling-Silver-1.5-mm-Wheat-Chain-Necklace-by-Roberto-Martinez.jpg?imwidth=480&impolicy=medium', False, 'by Roberto Martinez']
['$12.15', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/63e3b5f4fad1aa8941988c3a1cceed64de6dcf3b/Victoria-Townsend-Yellow-Gold-Curb-Link-Bracelet.jpg?imwidth=480&impolicy=medium', True, 'by Victoria Townsend']
['$196.64', '', 'https://ak1.ostkcdn.com/images/products/25607503/L30918466.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$39.52', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/e4338e5ad128c8add19f63f921ebf9975e21fbcb/Miadora-2ct-TGW-Created-White-Sapphire-Stud-Earrings-Sterling-Silver.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$108.29', '3 Metal Colors / 15 Sizes', 'https://ak1.ostkcdn.com/images/products/5618221/L13377105.jpg?imwidth=480&impolicy=medium', False, 'by Miadora']
['$87.11', '3 Lengths / 2 Colors / 3 Sizes', 'https://ak1.ostkcdn.com/images/products/6561597/L14139904.jpg?imwidth=480&impolicy=medium', True, 'by Fremada']
['$196.49', '5 Sizes', 'https://ak1.ostkcdn.com/images/products/7660480/L15073984.jpg?imwidth=480&impolicy=medium', True, 'by Fremada']
['$29.59', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/093370cfb3265c16cd97b07ebca2248135ff56df/Miadora-Yellow-Sterling-Silver-1-4-5ct-TGW-Amethyst-and-White-Topaz-Flower-Stud-Earrings.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$354.82', '11 Sizes / 3 Metal Colors', 'https://ak1.ostkcdn.com/images/products/is/images/direct/4db6e6e21201514b5d03acdd4a2e8951b4d4b55a/1-2Ct-Pave-Diamond-Wedding-Anniversary-Stackable-Ring-Gold-Lab-Grown.jpg?imwidth=480&impolicy=medium', False, 'by Overstock']
['$54.62', '', 'https://ak1.ostkcdn.com/images/products/8166267/L15505994.jpg?imwidth=480&impolicy=medium', True, 'by August Steiner']
['$59.49', '15 Sizes', 'https://ak1.ostkcdn.com/images/products/is/images/direct/691d4490cfa81c3256dfeb9659012fb99643dc29/4ct-TGW-Created-Blue-and-White-Sapphire-Diamond-Halo-Ring-in-Sterling-Silver-by-Miadora.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$34.67', '', 'https://ak1.ostkcdn.com/images/products/3540551/L11603697.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$612.99', '11 Sizes / 3 Metal Colors', 'https://ak1.ostkcdn.com/images/products/is/images/direct/620f7fd93e6152823cffa6d0998a3c5258ee5eb6/1-Ct-Emerald-Cut-Diamond-East-To-West-Wedding-Stackable-Ring-14k-Gold-Lab-Grown.jpg?imwidth=480&impolicy=medium', False, 'by Overstock']
['$112.49', '13 Sizes', 'https://ak1.ostkcdn.com/images/products/is/images/direct/001af1e1803767287d5b41fc27c29da435a5d2b6/Miadora-Sterling-Silver-Sky-Blue-Topaz-and-White-Sapphire-Rectangular-Halo-Ring.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$39.99', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/941b74831df1bfa972196a1554c572956f3d0841/Effy-Women%27s-925-Silver-Peach-Freshwater-Pearl-Bracelet.jpg?imwidth=480&impolicy=medium', False, 'by EFFY']
['$305.57', '1 Stone Color / 13 Sizes', 'https://ak1.ostkcdn.com/images/products/is/images/direct/4d3c1e4a00f8c5f40d4e3ef76d182ace687cafb0/Miadora-10k-Yellow-Gold-Citrine%2C-Sapphire%2C-and-Diamond-Accent-Ring.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$14.69', '3 Metal Colors', 'https://ak1.ostkcdn.com/images/products/3339960/Sterling-Essentials-Sterling-Silver-9-inch-Dangling-Heart-Anklet-b65134d9-4abe-44ed-bd6e-8600d800abe2_1000.jpg?imwidth=480&impolicy=medium', False, 'by Roberto Martinez']
['$83.59', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/9cf4ccb1827489808dcf052b7d07ad007dde05ca/Miadora-Sterling-Silver-Created-White-Sapphire-Tennis-Bracelet.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$1,857.59', '11 Sizes / 3 Metal Colors', 'https://ak1.ostkcdn.com/images/products/is/images/direct/092588c4ff6454696e738c0d2772bc26777f53c0/5Ct-Princess-Cut-Diamond-Engagement-Matching-Wedding-Ring-Set-Gold-Lab-Grown.jpg?imwidth=480&impolicy=medium', False, 'by Overstock']
['$46.07', '8 Lengths', 'https://ak1.ostkcdn.com/images/products/12861686/L19623749.jpg?imwidth=480&impolicy=medium', True, 'by Fremada']
['$64.99', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/4840d4bd39ac11ac56a1c416af2bd484ca979a93/Effy-Women%27s-925-Silver-Diamond-Earrings.jpg?imwidth=480&impolicy=medium', False, 'by EFFY']
['$66.99', '5 Sizes', 'https://ak1.ostkcdn.com/images/products/is/images/direct/bf400e49b9e4fb769f9dc1665fefd024856f9d31/Sterling-Silver-2-ct-Created-Ruby-Solitaire-Ring.jpg?imwidth=480&impolicy=medium', False, 'by Oravo']
['$1,017.99', '9 Sizes', 'https://ak1.ostkcdn.com/images/products/is/images/direct/be5e0b8d2b748d920f4913ab0086c5389b4272c3/Miadora-10k-Yellow-Gold-Men%27s-1-2ct-TDW-Diamond-Wedding-Band.jpg?imwidth=480&impolicy=medium', False, 'by Miadora']
['$27.99', '6 Stone Colors / 3 Sizes', 'https://ak1.ostkcdn.com/images/products/is/images/direct/546521e3b6fd3c79de938b92f0347601bf72cc4d/Victoria-Townsend-.925-Sterling-Silver-Mesh-Ring-w-Bezel-Set-Cushion-Cut-Amethyst-Stone.jpg?imwidth=480&impolicy=medium', True, 'by Victoria Townsend']
['$89.99', '6 Lengths', 'https://ak1.ostkcdn.com/images/products/is/images/direct/a9e89167be4b5e20ee057b87e9be07adaecb8690/14k-Yellow-Gold-filled-Solid-Figaro-Link-Chain-Necklace.jpg?imwidth=480&impolicy=medium', True, 'by Fremada']
['$11.55', '3 Metal Colors', 'https://ak1.ostkcdn.com/images/products/8931171/Finesque-Diamond-Accent-Cross-Hoop-Earrings-69706b85-6f93-4571-ae0b-1769c1431267_1000.jpg?imwidth=480&impolicy=medium', True, 'by Victoria Townsend']
['$20.09', '4 Lengths', 'https://ak1.ostkcdn.com/images/products/2656194/d74d61a0-7c6a-4fc2-9cc8-1f1223d8e606_1000.jpg?imwidth=480&impolicy=medium', False, 'by Roberto Martinez']
